명선식당,강원도 원주시 평원동 190번지 16호  ,033 ­742 ­3683,한식,,,37.351674,127.950497
연흥식당,강원도 원주시 중앙동 250번지 0호  , 033­ 743­0589,한식,,,,
민생회관,강원도 원주시 중앙동 243번지 0호  ,033 ­742 ­2837,한식,,,,
만복추어탕,강원도 원주시 학성동 223번지 5호  , 033­ 742­9490,한식,,,37.353617,127.945556
문막집,강원도 원주시 중앙동 36번지  ,033 ­742 ­6187,한식,,,,
명랑식당,강원도 원주시 학성동 311번지 18호  ,,한식,,,37.353959,127.946003
산정집,강원도 원주시 일산동 217번지  , 033­ 742­8556,한식,,,,
목화식당,강원도 원주시 학성동 425번지 102호  ,,한식,,,,
골목집,강원도 원주시 중앙동 56번지 36호  ,033 ­742 ­7191,한식,,,37.351283,127.948985
지짐이,강원도 원주시 우산동 90번지 3호  , 033­ 742­0703,한식,,,37.367036,127.939479
김밥사랑,강원도 원주시 학성동 430번지 1호  , 033­ 732­0992,김밥(도시락),,,37.356385,127.944588
백조식당,강원도 원주시 학성동 209번지  , 033­ 742­3341,한식,,,,
북원사철탕,강원도 원주시 태장동 1382번지 2호  , 033­ 733­0109,한식,,,37.383979,127.949379
팔공아나고곰장어,강원도 원주시 단구동 1653번지 9호  , 033­ 746­0430,한식,,,37.321617,127.956789
일호집,강원도 원주시 중앙동 62번지 66호 중앙시장 라동 25호, 033­ 742­3258,한식,,,37.350013,127.94919
치악기사식당,강원도 원주시 태장동 1969번지  , 033­734 ­2428,한식,,,37.397391,127.952656
평안반점,강원도 원주시 학성동 430번지 13호  , 033­ 742­3869,중국식,,,37.356247,127.944704
안동반점,강원도 원주시 중앙동 167번지 214호  , 033­ 742­3897,중국식,,,,
동화반점,강원도 원주시 태장동 1365번지 3호  , 033­ 742­3239,중국식,,,37.386197,127.948241
부광식당,강원도 원주시 부론면 법천리 1533번지 0호  , 033­ 731­1781,한식,,,37.208812,127.749379
신성집,강원도 원주시 신림면 신림리 626번지 0호  ,,정종/대포집/소주방,,,,
우정숯불갈비,강원도 원주시 우산동 229번지 6호 7 , 033­ 742­6630,한식,,,37.368271,127.93828
역전갈비,강원도 원주시 학성동 436번지 8호  , 033­ 744­9080,한식,,,37.355957,127.943639
쌍동통닭,강원도 원주시 태장동 1248번지 0호  ,033 ­742 ­5896,통닭(치킨),,,,
여주집,강원도 원주시 중앙동 0번지 0호 중앙시장 라동 40호, 033­ 743­7117,한식,,,,
광명식당,강원도 원주시 가현동 133번지 5호  ,033 ­742 ­6430,한식,,,37.38692,127.943047
풍년식당,강원도 원주시 호저면 주산리 513번지 0호  , 033­ 731­8171,한식,,,,
새서울식당,강원도 원주시 지정면 간현리 1047번지 5호  , 033­ 731­6017,한식,,,,
이대원조옥로손짜장,강원도 원주시 귀래면 운남리 948번지 4호  , 033­ 762­4040,중국식,,,37.169242,127.884391
신림집,강원도 원주시 신림면 신림리 907번지 0호  , 033­ 744­5176,정종/대포집/소주방,,,37.227736,128.06323
참사랑방,강원도 원주시 학성동 442번지 2호  , 033­ 746­0974,한식,,,37.356068,127.943225
영월장칼국수,강원도 원주시 단계동 870번지 1호  ,033 ­746 ­8046,한식,,,37.345558,127.92882
화개장터,강원도 원주시 일산동 118번지 (12층) ,033 ­743 ­2705,한식,,,37.348003,127.947679
무궁화집,강원도 원주시 평원동 241번지 11호  , 033­ 742­4440,한식,,,37.350904,127.952221
청와대녹각삼계탕,강원도 원주시 학성동 213번지 5호  , 033­ 742­8608,한식,,,37.353772,127.946917
들림집,강원도 원주시 판부면 금대리 531번지 3호  , 033­ 763­7744,한식,,,37.27247,128.012958
통나무집,강원도 원주시 판부면 금대리 260번지 0호  , 033­ 762­3355,한식,,,,
다원갈비,강원도 원주시 봉산동 1055번지 2호  , 033­ 744­0156,한식,,,37.351016,127.957107
천안문,강원도 원주시 태장동 1380번지 1호 2 , 033­ 743­9426,한식,,,37.38483,127.947908
시골집,강원도 원주시 중앙동 114번지 28호  ,033 ­742 ­6665,한식,,,37.349179,127.950249
봉선네옹심이,강원도 원주시 소초면 흥양리 1530번지 4호  ,033 ­731 ­3522,한식,,,37.385866,127.977789
영광식당,강원도 원주시 지정면 간현리 873번지 9호  , 033­ 731­9262,중국식,,,37.362672,127.838235
치악산장,강원도 원주시 판부면 금대리 694번지 1호  , 033­ 762­4388,한식,,,,
남부통닭,강원도 원주시 개운동 397번지 3호  , 033­ 762­7144,통닭(치킨),,,37.340799,127.956088
오학닭갈비남부점,강원도 원주시 명륜동 41번지 4호  , 033­ 764­3783,한식,,,37.34326,127.95403
고인돌,강원도 원주시 학성동 203번지 9호  , 033­ 742­1931,한식,,,37.352655,127.948672
